Country,Year,Share of GDP,Share of Gov Spending,Per Capita,Current USD Amount ($million),Sunni,Shi'ite,Jewish
Bahrain,1988,0.056,,445.9,207,0,1,0
Egypt,1988,0.051,,83.1,4454,1,0,0
Iran,1988,0.063,,356.2,18889,0,1,0
Iraq,1988,,,,,1,0,0
Israel,1988,0.171,,1747.7,7499,0,0,1
Jordan,1988,0.094,0.205,190.4,588,1,0,0
Kuwait,1988,0.082,,850.9,1704,1,0,0
Lebanon,1988,0.012,,14.7,39,1,0,0
Oman,1988,0.183,,912.3,1532,1,0,0
Qatar,1988,0.163,,2207.0,983,1,0,0
Saudi Arabia,1988,0.152,,876.3,13355,1,0,0
Syria,1988,0.079,,317.4,3723,1,0,0
Turkey,1988,0.029,,51.1,2664,1,0,0
UAE,1988,,,,,1,0,0
Bahrain,1989,0.056,,453.3,218,0,1,0
Egypt,1989,0.051,,63.9,3516,1,0,0
Iran,1989,0.063,,297.8,16302,0,1,0
Iraq,1989,,,,,1,0,0
Israel,1989,0.171,,1383.3,6064,0,0,1
Jordan,1989,0.094,0.209,119.3,383,1,0,0
Kuwait,1989,0.082,,1010.7,2076,1,0,0
Lebanon,1989,0.012,,,,1,0,0
Oman,1989,0.183,,896.7,1562,1,0,0
Qatar,1989,0.163,,1832.3,848,1,0,0
Saudi Arabia,1989,0.152,,806.4,12750,1,0,0
Syria,1989,0.079,,122.7,1484,1,0,0
Turkey,1989,0.029,,63.6,3374,1,0,0
UAE,1989,,,,,1,0,0
Bahrain,1990,0.053,0.143,482.6,239,0,1,0
Egypt,1990,0.036,,40.1,2261,1,0,0
Iran,1990,0.032,0.145,293.3,16474,0,1,0
Iraq,1990,,,,,1,0,0
Israel,1990,0.137,,1607.9,7234,0,0,1
Jordan,1990,0.078,0.175,96.0,322,1,0,0
Kuwait,1990,0.485,0.526,4352.7,8962,1,0,0
Lebanon,1990,0.076,0.191,79.3,214,1,0,0
Oman,1990,0.165,0.395,1065.3,1931,1,0,0
Qatar,1990,0.107,0.253,1659.7,791,1,0,0
Saudi Arabia,1990,0.140,0.354,999.6,16355,1,0,0
Syria,1990,0.069,0.243,131.9,1642,1,0,0
Turkey,1990,0.035,,98.4,5315,1,0,0
UAE,1990,,,,,1,0,0
Yemen,1990,0.062,0.246,67.5,807,1,0,0
Bahrain,1991,0.057,0.170,516.6,263,0,1,0
Egypt,1991,0.038,,23.3,1346,1,0,0
Iran,1991,0.024,0.125,306.3,17550,0,1,0
Iraq,1991,,,,,1,0,0
Israel,1991,0.175,,2254.2,10463,0,0,1
Jordan,1991,0.100,0.227,122.4,433,1,0,0
Kuwait,1991,1.173,0.575,6439.3,12924,1,0,0
Lebanon,1991,0.052,0.147,83.4,229,1,0,0
Oman,1991,0.148,0.344,884.1,1673,1,0,0
Qatar,1991,0.130,0.279,1846.2,896,1,0,0
Saudi Arabia,1991,0.125,0.354,968.3,16355,1,0,0
Syria,1991,0.104,0.304,225.8,2894,1,0,0
Turkey,1991,0.038,,103.3,5671,1,0,0
UAE,1991,,,,,1,0,0
Yemen,1991,0.066,0.283,81.8,1028,1,0,0
